query_gene	annot_source	annot	annot_geneonly
LOC123386889	kristen_mm_hs_ortholog	Zfp35	Zfp35
LOC123386890	kristen_mm_hs_ortholog	KRT85	KRT85
LOC123386895	entrez_desc	zinc finger protein 585A	NA
LOC123386896	entrez_desc	T cell receptor alpha variable 22-like	NA
LOC123386898	entrez_desc	olfactory receptor 51F2-like	NA
LOC123386902	entrez_desc	transmembrane protein 217-like	NA
LOC123386905	entrez_desc	olfactory receptor 6C1-like	NA
LOC123386907	NA	NA	NA
LOC123386909	entrez_desc	DLA class I histocompatibility antigen, A9/A9 alpha chain-like	NA
LOC123386911	kristen_mm_hs_ortholog	RNASE6	RNASE6
LOC123386912	NA	NA	NA
LOC123386913	entrez_desc	zinc finger protein 850-like	NA
LOC123386914	entrez_desc	cytochrome P450 11B1, mitochondrial-like	NA
LOC123386915	NA	NA	NA
LOC123386916	entrez_desc	immunoglobulin heavy variable 3-33-like	NA
LOC123386917	entrez_desc	deleted in malignant brain tumors 1 protein-like	NA
LOC123386918	NA	NA	NA
LOC123386921	NA	NA	NA
LOC123386922	NA	NA	NA
LOC123386923	kristen_mm_hs_ortholog	C2orf16	C2orf16
LOC123386924	entrez_desc	histone H3.1	NA
LOC123386925	entrez_desc	cysteine and histidine-rich protein 1	NA
LOC123386926	NA	NA	NA
LOC123386929	kristen_mm_hs_ortholog	H2AC1	H2AC1
LOC123386930	NA	NA	NA
LOC123386932	kristen_mm_hs_ortholog	PTTG1	PTTG1
LOC123386934	NA	NA	NA
LOC123386935	NA	NA	NA
LOC123386937	kristen_mm_hs_ortholog	Btnl6	Btnl6
LOC123386938	entrez_desc	zinc finger protein 135-like	NA
LOC123386941	entrez_desc	keratin-associated protein 4-12-like	NA
LOC123386942	entrez_desc	protocadherin gamma-A1-like	NA
LOC123386943	NA	NA	NA
LOC123386944	NA	NA	NA
LOC123386945	entrez_desc	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C-like	NA
LOC123386946	NA	NA	NA
LOC123386947	entrez_desc	protocadherin gamma-B7-like	NA
LOC123386948	entrez_desc	zinc finger protein 132-like	NA
LOC123386949	NA	NA	NA
LOC123386950	kristen_mm_hs_ortholog	PPID	PPID
LOC123386952	NA	NA	NA
LOC123386955	NA	NA	NA
LOC123386957	entrez_desc	HLA class II histocompatibility antigen, DR alpha chain-like	NA
LOC123386960	NA	NA	NA
LOC123386961	kristen_mm_hs_ortholog	ESCO1	ESCO1
LOC123386962	entrez_desc	tissue factor pathway inhibitor 2-like	NA
LOC123386963	kristen_mm_hs_ortholog	Gm4952	Gm4952
LOC123386964	NA	NA	NA
LOC123386966	entrez_desc	heat shock 70 kDa protein 1-like	NA
LOC123386970	kristen_mm_hs_ortholog	Slc6a8	Slc6a8
LOC123386971	entrez_desc	ubiquitin-conjugating enzyme E2 L3	NA
LOC123386972	NA	NA	NA
LOC123386974	entrez_desc	histone deacetylase complex subunit SAP18-like	NA
LOC123386978	entrez_desc	rab15 effector protein-like	NA
LOC123386979	entrez_alias	Myosin-3	Myosin-3
LOC123386980	entrez_desc	HLA class II histocompatibility antigen, DQ alpha 2 chain-like	NA
LOC123386981	entrez_desc	ATP synthase subunit gamma, mitochondrial	NA
LOC123386982	entrez_desc	IgGFc-binding protein-like	NA
LOC123386985	kristen_mm_hs_ortholog	MANSC4	MANSC4
LOC123386987	NA	NA	NA
LOC123386988	entrez_desc	MIEF1 upstream open reading frame protein	NA
LOC123386991	NA	NA	NA
LOC123386992	NA	NA	NA
LOC123386993	entrez_desc	apolipoprotein R-like	NA
LOC123386994	NA	NA	NA
LOC123386995	entrez_desc	zinc finger protein 33B-like	NA
LOC123386996	entrez_desc	thymosin beta-4	NA
LOC123386997	kristen_mm_hs_ortholog	FAM169A	FAM169A
LOC123386999	entrez_desc	calcineurin-binding protein cabin-1-like	NA
LOC123387000	NA	NA	NA
LOC123387001	NA	NA	NA
LOC123387003	NA	NA	NA
LOC123387004	NA	NA	NA
LOC123387005	NA	NA	NA
LOC123387007	NA	NA	NA
LOC123387009	NA	NA	NA
LOC123387010	NA	NA	NA
LOC123387011	NA	NA	NA
LOC123387012	NA	NA	NA
LOC123387014	NA	NA	NA
LOC123387015	NA	NA	NA
LOC123387016	entrez_desc	40S ribosomal protein S29-like	NA
LOC123387019	NA	NA	NA
LOC123387020	NA	NA	NA
LOC123387021	NA	NA	NA
LOC123387022	NA	NA	NA
LOC123387023	NA	NA	NA
LOC123387024	NA	NA	NA
LOC123387025	NA	NA	NA
LOC123387026	NA	NA	NA
LOC123387027	NA	NA	NA
LOC123387028	NA	NA	NA
LOC123387029	NA	NA	NA
LOC123387030	NA	NA	NA
LOC123387032	NA	NA	NA
LOC123387033	NA	NA	NA
LOC123387034	NA	NA	NA
LOC123387035	NA	NA	NA
LOC123387037	NA	NA	NA
LOC123387038	NA	NA	NA
LOC123387039	entrez_desc	phosphate carrier protein, mitochondrial-like	NA
LOC123387040	NA	NA	NA
LOC123387041	NA	NA	NA
LOC123387043	NA	NA	NA
LOC123387044	NA	NA	NA
LOC123387046	NA	NA	NA
LOC123387047	NA	NA	NA
LOC123387049	NA	NA	NA
LOC123387050	NA	NA	NA
LOC123387052	NA	NA	NA
LOC123387053	kristen_mm_hs_ortholog	Gm2663	Gm2663
LOC123387054	entrez_desc	T cell receptor beta variable 4-1-like	NA
LOC123387055	entrez_desc	T cell receptor beta variable 12-5-like	NA
LOC123387056	entrez_desc	glutathione S-transferase kappa 1-like	NA
LOC123387057	NA	NA	NA
LOC123387058	NA	NA	NA
LOC123387059	NA	NA	NA
LOC123387060	NA	NA	NA
LOC123387065	entrez_desc	U4 spliceosomal RNA	NA
LOC123387066	entrez_desc	U4 spliceosomal RNA	NA
LOC123387075	entrez_desc	U6 spliceosomal RNA	NA
LOC123387076	entrez_desc	U6 spliceosomal RNA	NA
LOC123387077	entrez_desc	U6 spliceosomal RNA	NA
LOC123387078	entrez_desc	U6 spliceosomal RNA	NA
LOC123387079	entrez_desc	U6 spliceosomal RNA	NA
LOC123387080	entrez_desc	U6 spliceosomal RNA	NA
LOC123387081	entrez_desc	U6 spliceosomal RNA	NA
LOC123387082	entrez_desc	U6 spliceosomal RNA	NA
LOC123387083	entrez_desc	U6 spliceosomal RNA	NA
LOC123387084	entrez_desc	U6 spliceosomal RNA	NA
LOC123387085	entrez_desc	U6 spliceosomal RNA	NA
LOC123387086	entrez_desc	U6 spliceosomal RNA	NA
LOC123387088	entrez_desc	U6 spliceosomal RNA	NA
LOC123387089	entrez_desc	U6 spliceosomal RNA	NA
LOC123387090	entrez_desc	U6 spliceosomal RNA	NA
LOC123387091	entrez_desc	U6 spliceosomal RNA	NA
LOC123387092	entrez_desc	U6 spliceosomal RNA	NA
LOC123387093	entrez_desc	U6 spliceosomal RNA	NA
LOC123387094	entrez_desc	U6 spliceosomal RNA	NA
LOC123387095	entrez_desc	U6 spliceosomal RNA	NA
LOC123387096	entrez_desc	U6 spliceosomal RNA	NA
LOC123387097	entrez_desc	U6 spliceosomal RNA	NA
LOC123387098	entrez_desc	U6 spliceosomal RNA	NA
LOC123387099	entrez_desc	U6 spliceosomal RNA	NA
LOC123387100	entrez_desc	U6 spliceosomal RNA	NA
LOC123387103	entrez_desc	U6 spliceosomal RNA	NA
LOC123387104	entrez_desc	U6 spliceosomal RNA	NA
LOC123387107	entrez_desc	U6 spliceosomal RNA	NA
LOC123387108	entrez_desc	U6 spliceosomal RNA	NA
LOC123387109	entrez_desc	U6 spliceosomal RNA	NA
LOC123387110	entrez_desc	U6 spliceosomal RNA	NA
LOC123387111	entrez_desc	U6 spliceosomal RNA	NA
LOC123387112	entrez_desc	U7 small nuclear RNA	NA
LOC123387113	entrez_desc	small nucleolar RNA SNORA62/SNORA6 family	NA
LOC123387115	entrez_desc	small nucleolar RNA SNORA70	NA
LOC123387116	entrez_desc	small nucleolar RNA SNORA57	NA
LOC123387117	entrez_desc	small Cajal body-specific RNA 18	NA
LOC123387118	entrez_desc	small nucleolar RNA SNORA5	NA
LOC123387119	entrez_desc	small nucleolar RNA SNORA5	NA
LOC123387120	entrez_desc	small nucleolar RNA SNORA24	NA
LOC123387121	entrez_desc	small nucleolar RNA SNORA9	NA
LOC123387122	entrez_desc	small Cajal body-specific RNA 20	NA
LOC123387123	entrez_desc	small nucleolar RNA SNORD93	NA
LOC123387124	entrez_desc	U6atac minor spliceosomal RNA	NA
LOC123387125	entrez_desc	U6atac minor spliceosomal RNA	NA
LOC123387127	entrez_desc	small nucleolar RNA U13	NA
LOC123387129	entrez_desc	small nucleolar RNA U13	NA
LOC123387130	entrez_desc	small nucleolar RNA U109	NA
LOC123387131	entrez_desc	small nucleolar RNA SNORD2	NA
LOC123387133	entrez_desc	U1 spliceosomal RNA	NA
LOC123387134	entrez_desc	U2 spliceosomal RNA	NA
LOC123387143	entrez_desc	U2 spliceosomal RNA	NA
LOC123387144	entrez_desc	U12 minor spliceosomal RNA	NA
LOC123387146	entrez_desc	small nucleolar RNA U3	NA
LOC123387152	entrez_desc	U4 spliceosomal RNA	NA
LOC123387155	entrez_desc	U4 spliceosomal RNA	NA
LOC123387156	entrez_desc	U4 spliceosomal RNA	NA
LOC123387161	NA	NA	NA
LOC123387164	kristen_mm_hs_ortholog	NUSAP1	NUSAP1
LOC123387166	kristen_mm_hs_ortholog	CNBD1	CNBD1
LOC123387169	NA	NA	NA
LOC123387171	entrez_desc	protein SPT2 homolog	NA
LOC123387175	kristen_mm_hs_ortholog	CNBD1	CNBD1
LOC123387179	entrez_desc	microtubule-associated serine/threonine-protein kinase 1-like	NA
LOC123387180	entrez_desc	basic proline-rich protein-like	NA
LOC123387183	NA	NA	NA
LOC123387184	NA	NA	NA
LOC123387185	NA	NA	NA
LOC123387186	NA	NA	NA
LOC123387187	NA	NA	NA
LOC123387188	NA	NA	NA
LOC123387189	NA	NA	NA
LOC123387190	NA	NA	NA
LOC123387191	kristen_mm_hs_ortholog	KLHL13	KLHL13
LOC123387192	entrez_desc	vasculin-like protein 1	NA
LOC123387193	NA	NA	NA
LOC123387194	NA	NA	NA
LOC123387195	NA	NA	NA
LOC123387196	NA	NA	NA
LOC123387198	entrez_desc	U4 spliceosomal RNA	NA
LOC123387200	entrez_desc	U6 spliceosomal RNA	NA
LOC123387201	entrez_desc	U6 spliceosomal RNA	NA
LOC123387203	entrez_desc	U6 spliceosomal RNA	NA
LOC123387204	entrez_desc	U6 spliceosomal RNA	NA
LOC123387206	entrez_desc	U6 spliceosomal RNA	NA
LOC123387207	entrez_desc	U6 spliceosomal RNA	NA
LOC123387210	entrez_desc	U6 spliceosomal RNA	NA
LOC123387211	entrez_desc	small nucleolar RNA SNORA62/SNORA6 family	NA
LOC123387212	entrez_desc	small nucleolar RNA SNORA72	NA
LOC123387217	entrez_desc	phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein-like	NA
LOC123387219	entrez_desc	phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein-like	NA
LOC123387223	NA	NA	NA
LOC123387224	NA	NA	NA
LOC123387225	entrez_desc	40S ribosomal protein S26-like	NA
LOC123387226	NA	NA	NA
LOC123387229	NA	NA	NA
LOC123387230	NA	NA	NA
LOC123387231	entrez_desc	high mobility group protein B3-like	NA
LOC123387232	entrez_desc	small nuclear ribonucleoprotein G-like	NA
LOC123387233	NA	NA	NA
LOC123387234	NA	NA	NA
LOC123387235	NA	NA	NA
LOC123387236	entrez_desc	IQ motif and SEC7 domain-containing protein 3-like	NA
LOC123387237	NA	NA	NA
LOC123387238	entrez_desc	histone H1.10	NA
LOC123387239	entrez_desc	myosin regulatory light chain 12B-like	NA
LOC123387240	NA	NA	NA
LOC123387242	entrez_desc	U2 spliceosomal RNA	NA
LOC123387244	entrez_desc	U4 spliceosomal RNA	NA
LOC123387247	entrez_desc	U6 spliceosomal RNA	NA
LOC123387248	entrez_desc	U6 spliceosomal RNA	NA
LOC123387249	entrez_desc	U6 spliceosomal RNA	NA
LOC123387252	entrez_desc	U6 spliceosomal RNA	NA
LOC123387253	entrez_desc	U6 spliceosomal RNA	NA
LOC123387256	entrez_desc	small nucleolar RNA SNORA7	NA
LOC123387258	entrez_desc	U6 spliceosomal RNA	NA
LOC123387262	NA	NA	NA
LOC123387263	NA	NA	NA
LOC123387264	entrez_desc	translation initiation factor IF-2-like	NA
LOC123387265	entrez_desc	zinc finger protein 684-like	NA
LOC123387266	kristen_mm_hs_ortholog	Cyp4a12b	Cyp4a12b
LOC123387267	entrez_desc	translation initiation factor IF-2-like	NA
LOC123387268	entrez_desc	translation initiation factor IF-2-like	NA
LOC123387269	NA	NA	NA
LOC123387270	entrez_desc	voltage-dependent P/Q-type calcium channel subunit alpha-1A-like	NA
LOC123387276	NA	NA	NA
LOC123387279	NA	NA	NA
LOC123387282	NA	NA	NA
LOC123387284	NA	NA	NA
LOC123387285	NA	NA	NA
LOC123387286	NA	NA	NA
LOC123387287	NA	NA	NA
LOC123387288	NA	NA	NA
LOC123387289	NA	NA	NA
LOC123387290	NA	NA	NA
LOC123387291	NA	NA	NA
LOC123387292	NA	NA	NA
LOC123387293	NA	NA	NA
LOC123387294	NA	NA	NA
LOC123387295	NA	NA	NA
LOC123387296	NA	NA	NA
LOC123387297	NA	NA	NA
LOC123387298	NA	NA	NA
LOC123387299	NA	NA	NA
LOC123387300	NA	NA	NA
LOC123387301	NA	NA	NA
LOC123387302	NA	NA	NA
LOC123387303	NA	NA	NA
LOC123387304	entrez_desc	testis-expressed protein 54-like	NA
LOC123387305	NA	NA	NA
LOC123387306	NA	NA	NA
LOC123387307	NA	NA	NA
LOC123387309	entrez_desc	heterogeneous nuclear ribonucleoprotein A1-like	NA
LOC123387310	NA	NA	NA
LOC123387311	NA	NA	NA
LOC123387312	entrez_desc	translation initiation factor IF-2-like	NA
LOC123387313	NA	NA	NA
LOC123387314	NA	NA	NA
LOC123387315	NA	NA	NA
LOC123387316	kristen_mm_hs_ortholog	SNRPG	SNRPG
LOC123387317	NA	NA	NA
LOC123387318	entrez_desc	cytochrome c oxidase subunit 8A, mitochondrial	NA
LOC123387319	NA	NA	NA
LOC123387320	NA	NA	NA
LOC123387321	NA	NA	NA
LOC123387322	NA	NA	NA
LOC123387326	NA	NA	NA
LOC123387327	NA	NA	NA
LOC123387328	NA	NA	NA
LOC123387329	NA	NA	NA
LOC123387333	NA	NA	NA
LOC123387334	NA	NA	NA
LOC123387335	NA	NA	NA
LOC123387337	kristen_mm_hs_ortholog	UQCRB	UQCRB
LOC123387339	NA	NA	NA
LOC123387340	NA	NA	NA
LOC123387341	entrez_desc	coatomer subunit zeta-2-like	NA
LOC123387342	NA	NA	NA
LOC123387343	NA	NA	NA
LOC123387344	NA	NA	NA
LOC123387347	NA	NA	NA
LOC123387348	NA	NA	NA
LOC123387349	NA	NA	NA
LOC123387351	entrez_desc	heterogeneous nuclear ribonucleoprotein A1-like	NA
LOC123387352	entrez_desc	cytochrome c oxidase subunit 7B, mitochondrial-like	NA
LOC123387353	NA	NA	NA
LOC123387354	NA	NA	NA
LOC123387355	NA	NA	NA
LOC123387356	NA	NA	NA
LOC123387357	NA	NA	NA
LOC123387358	NA	NA	NA
LOC123387359	NA	NA	NA
LOC123387360	NA	NA	NA
LOC123387361	NA	NA	NA
LOC123387362	NA	NA	NA
LOC123387365	NA	NA	NA
LOC123387366	NA	NA	NA
LOC123387368	NA	NA	NA
LOC123387369	NA	NA	NA
LOC123387371	NA	NA	NA
LOC123387372	NA	NA	NA
LOC123387380	entrez_desc	basic proline-rich protein-like	NA
LOC123387382	entrez_desc	basic proline-rich protein-like	NA
LOC123387383	NA	NA	NA
LOC123387384	entrez_desc	collagen alpha-1(I) chain-like	NA
LOC123387385	NA	NA	NA
LOC123387387	NA	NA	NA
LOC123387389	NA	NA	NA
LOC123387390	entrez_desc	eukaryotic translation initiation factor 1-like	NA
LOC123387392	NA	NA	NA
LOC123387393	entrez_desc	U6 spliceosomal RNA	NA
LOC123387394	entrez_desc	U6 spliceosomal RNA	NA
LOC123387395	entrez_desc	U6 spliceosomal RNA	NA
LOC123387396	entrez_desc	U6 spliceosomal RNA	NA
LOC123387397	entrez_desc	U6 spliceosomal RNA	NA
LOC123387398	entrez_desc	U6 spliceosomal RNA	NA
LOC123387400	entrez_desc	U6 spliceosomal RNA	NA
LOC123387401	entrez_desc	U6 spliceosomal RNA	NA
LOC123387402	entrez_desc	U6 spliceosomal RNA	NA
LOC123387404	entrez_desc	U6 spliceosomal RNA	NA
LOC123387405	entrez_desc	U6 spliceosomal RNA	NA
LOC123387406	entrez_desc	U6 spliceosomal RNA	NA
LOC123387407	entrez_desc	U6 spliceosomal RNA	NA
LOC123387408	entrez_desc	U6 spliceosomal RNA	NA
LOC123387409	entrez_desc	U6 spliceosomal RNA	NA
LOC123387412	entrez_desc	U6 spliceosomal RNA	NA
LOC123387414	entrez_desc	U6 spliceosomal RNA	NA
LOC123387415	entrez_desc	U6 spliceosomal RNA	NA
LOC123387417	entrez_desc	U6 spliceosomal RNA	NA
LOC123387418	entrez_desc	U6 spliceosomal RNA	NA
LOC123387419	entrez_desc	U6 spliceosomal RNA	NA
LOC123387420	entrez_desc	U6 spliceosomal RNA	NA
LOC123387421	entrez_desc	U6 spliceosomal RNA	NA
LOC123387422	entrez_desc	U6 spliceosomal RNA	NA
LOC123387424	entrez_desc	U6 spliceosomal RNA	NA
LOC123387425	entrez_desc	U6 spliceosomal RNA	NA
LOC123387426	entrez_desc	small nucleolar RNA SNORA73 family	NA
LOC123387427	entrez_desc	small nucleolar RNA SNORA73 family	NA
LOC123387428	entrez_desc	small nucleolar RNA SNORA73 family	NA
LOC123387429	entrez_desc	small nucleolar RNA SNORD21	NA
LOC123387430	entrez_desc	small nucleolar RNA SNORA63	NA
LOC123387432	entrez_desc	small nucleolar RNA SNORD58	NA
LOC123387433	entrez_desc	small nucleolar RNA SNORA66	NA
LOC123387434	entrez_desc	small nucleolar RNA SNORA70	NA
LOC123387435	entrez_desc	small nucleolar RNA SNORA70	NA
LOC123387436	entrez_desc	small nucleolar RNA SNORD55/SNORD39	NA
LOC123387437	entrez_desc	small nucleolar RNA SNORD103/SNORD85	NA
LOC123387438	entrez_desc	small nucleolar RNA SNORD103/SNORD85	NA
LOC123387439	entrez_desc	small nucleolar RNA SNORD103/SNORD85	NA
LOC123387440	entrez_desc	small nucleolar RNA SNORA16B/SNORA16A family	NA
LOC123387441	entrez_desc	small nucleolar RNA SNORA16B/SNORA16A family	NA
LOC123387442	entrez_desc	small nucleolar RNA SNORD38	NA
LOC123387443	entrez_desc	small nucleolar RNA SNORD38	NA
LOC123387444	entrez_desc	small nucleolar RNA SNORD46	NA
LOC123387445	entrez_desc	small nucleolar RNA SNORD45	NA
LOC123387446	entrez_desc	small nucleolar RNA SNORD45	NA
LOC123387447	entrez_desc	small nucleolar RNA SNORD45	NA
LOC123387448	entrez_desc	small nucleolar RNA SNORA31	NA
LOC123387449	entrez_desc	small nucleolar RNA SNORA44	NA
LOC123387450	entrez_desc	small nucleolar RNA SNORA61	NA
LOC123387451	entrez_desc	small nucleolar RNA SNORA32	NA
LOC123387452	entrez_desc	small nucleolar RNA SNORA18	NA
LOC123387453	entrez_desc	small nucleolar RNA SNORA55	NA
LOC123387454	entrez_desc	U11 spliceosomal RNA	NA
LOC123387455	entrez_desc	small Cajal body-specific RNA 1	NA
LOC123387456	entrez_desc	small nucleolar RNA SNORA40	NA
LOC123387457	entrez_desc	small nucleolar RNA SNORD99	NA
LOC123387458	entrez_desc	U1 spliceosomal RNA	NA
LOC123387459	entrez_desc	U6atac minor spliceosomal RNA	NA
LOC123387460	entrez_desc	small nucleolar RNA U13	NA
LOC123387461	entrez_desc	small nucleolar RNA U13	NA
LOC123387462	entrez_desc	small nucleolar RNA U13	NA
LOC123387463	entrez_desc	small nucleolar RNA ACA64	NA
LOC123387464	entrez_desc	U2 spliceosomal RNA	NA
LOC123387470	entrez_desc	U12 minor spliceosomal RNA	NA
LOC123387471	entrez_desc	small nucleolar RNA U3	NA
LOC123387475	entrez_desc	U4 spliceosomal RNA	NA
LOC123387477	entrez_desc	U4 spliceosomal RNA	NA
LOC123387479	entrez_desc	U4 spliceosomal RNA	NA
LOC123387480	entrez_desc	U4 spliceosomal RNA	NA
LOC123387483	entrez_desc	U4 spliceosomal RNA	NA
LOC123387484	entrez_desc	U4 spliceosomal RNA	NA
LOC123387488	entrez_desc	U5 spliceosomal RNA	NA
LOC123387489	entrez_desc	U5 spliceosomal RNA	NA
LOC123387490	entrez_desc	U5 spliceosomal RNA	NA
LOC123387491	entrez_desc	U6 spliceosomal RNA	NA
LOC123387492	entrez_desc	U6 spliceosomal RNA	NA
LOC123387493	entrez_desc	U6 spliceosomal RNA	NA
LOC123387494	entrez_desc	U6 spliceosomal RNA	NA
LOC123387495	entrez_desc	U6 spliceosomal RNA	NA
LOC123387496	entrez_desc	U6 spliceosomal RNA	NA
LOC123387497	entrez_desc	U6 spliceosomal RNA	NA
LOC123387498	entrez_desc	U6 spliceosomal RNA	NA
LOC123387499	entrez_desc	U6 spliceosomal RNA	NA
LOC123387500	entrez_desc	U6 spliceosomal RNA	NA
LOC123387509	entrez_desc	NUT family member 2G-like	NA
LOC123387510	NA	NA	NA
LOC123387511	NA	NA	NA
LOC123387512	entrez_desc	collagen alpha-2(I) chain-like	NA
LOC123387513	NA	NA	NA
LOC123387514	NA	NA	NA
LOC123387515	NA	NA	NA
LOC123387516	kristen_mm_hs_ortholog	FNTA	FNTA
LOC123387517	NA	NA	NA
LOC123387519	NA	NA	NA
LOC123387520	NA	NA	NA
LOC123387521	NA	NA	NA
LOC123387522	NA	NA	NA
LOC123387523	NA	NA	NA
LOC123387524	NA	NA	NA
LOC123387525	NA	NA	NA
LOC123387526	NA	NA	NA
LOC123387527	kristen_mm_hs_ortholog	SPATA31D1	SPATA31D1
LOC123387528	NA	NA	NA
LOC123387529	NA	NA	NA
LOC123387530	NA	NA	NA
LOC123387531	entrez_desc	NUT family member 2D-like	NA
LOC123387532	entrez_desc	NUT family member 2G-like	NA
LOC123387533	entrez_desc	NUT family member 2G-like	NA
LOC123387534	entrez_desc	60S ribosomal protein L37a-like	NA
LOC123387539	entrez_desc	forkhead box protein D4-like 1	NA
LOC123387540	entrez_desc	U4 spliceosomal RNA	NA
LOC123387541	entrez_desc	U4 spliceosomal RNA	NA
LOC123387542	entrez_desc	U6 spliceosomal RNA	NA
LOC123387543	entrez_desc	U6 spliceosomal RNA	NA
LOC123387544	entrez_desc	U6 spliceosomal RNA	NA
LOC123387545	entrez_desc	U6 spliceosomal RNA	NA
LOC123387546	entrez_desc	U6 spliceosomal RNA	NA
LOC123387547	entrez_desc	U6 spliceosomal RNA	NA
LOC123387548	entrez_desc	U6 spliceosomal RNA	NA
LOC123387549	entrez_desc	small nucleolar RNA SNORA84	NA
LOC123387550	entrez_desc	U1 spliceosomal RNA	NA
LOC123387551	entrez_desc	U4 spliceosomal RNA	NA
LOC123387554	entrez_desc	ATP synthase subunit epsilon, mitochondrial-like	NA
LOC123387555	NA	NA	NA
LOC123387556	entrez_desc	heterogeneous nuclear ribonucleoprotein A1-like	NA
LOC123387557	entrez_desc	DLA class I histocompatibility antigen, A9/A9 alpha chain-like	NA
LOC123387558	entrez_desc	saoe class I histocompatibility antigen, A alpha chain-like	NA
LOC123387559	entrez_desc	DLA class I histocompatibility antigen, A9/A9 alpha chain-like	NA
LOC123387563	kristen_mm_hs_ortholog	BNIP3L	BNIP3L
LOC123387566	NA	NA	NA
LOC123387567	NA	NA	NA
LOC123387568	NA	NA	NA
LOC123387569	NA	NA	NA
LOC123387570	NA	NA	NA
LOC123387571	NA	NA	NA
LOC123387572	entrez_desc	HLA class I histocompatibility antigen, A alpha chain-like	NA
LOC123387574	NA	NA	NA
LOC123387575	NA	NA	NA
LOC123387581	entrez_desc	ATP synthase subunit epsilon, mitochondrial-like	NA
LOC123387586	entrez_desc	patr class I histocompatibility antigen, alpha chain E-like	NA
LOC123387589	entrez_desc	patr class I histocompatibility antigen, A-126 alpha chain-like	NA
LOC123387592	entrez_desc	small nucleolar RNA SNORD48	NA
LOC123387593	entrez_desc	small nucleolar RNA SNORA38	NA
LOC123387594	entrez_desc	small nucleolar RNA U13	NA
LOC123387596	entrez_desc	small nucleolar RNA SNORD83	NA
LOC123387597	entrez_desc	small nucleolar RNA SNORD83	NA
LOC123387598	entrez_desc	small nucleolar RNA SNORD52	NA
LOC123387601	NA	NA	NA
LOC123387602	NA	NA	NA
LOC123387603	kristen_mm_hs_ortholog	TUBA3D	TUBA3D
LOC123387604	NA	NA	NA
LOC123387608	entrez_desc	WAS/WASL-interacting protein family member 1-like	NA
LOC123387611	entrez_desc	translation initiation factor IF-2-like	NA
LOC123387612	NA	NA	NA
LOC123387613	NA	NA	NA
LOC123387614	NA	NA	NA
LOC123387615	NA	NA	NA
LOC123387617	NA	NA	NA
LOC123387618	NA	NA	NA
LOC123387619	NA	NA	NA
LOC123387620	NA	NA	NA
LOC123387621	kristen_mm_hs_ortholog	PPIB	PPIB
LOC123387622	NA	NA	NA
LOC123387624	NA	NA	NA
LOC123387625	NA	NA	NA
LOC123387626	NA	NA	NA
LOC123387627	NA	NA	NA
LOC123387628	NA	NA	NA
LOC123387629	NA	NA	NA
LOC123387630	NA	NA	NA
LOC123387631	NA	NA	NA
LOC123387632	NA	NA	NA
LOC123387634	NA	NA	NA
LOC123387635	NA	NA	NA
LOC123387636	kristen_mm_hs_ortholog	GAPDH	GAPDH
LOC123387637	NA	NA	NA
LOC123387638	NA	NA	NA
LOC123387639	NA	NA	NA
LOC123387640	NA	NA	NA
LOC123387641	NA	NA	NA
LOC123387642	NA	NA	NA
LOC123387645	NA	NA	NA
LOC123387646	NA	NA	NA
LOC123387647	NA	NA	NA
LOC123387648	NA	NA	NA
LOC123387649	NA	NA	NA
LOC123387650	NA	NA	NA
LOC123387651	NA	NA	NA
LOC123387652	NA	NA	NA
LOC123387653	entrez_desc	immunoglobulin lambda variable 3-25-like	NA
LOC123387655	NA	NA	NA
LOC123387656	NA	NA	NA
LOC123387657	entrez_desc	immunoglobulin lambda constant 7-like	NA
LOC123387662	entrez_desc	protein FAM246B-like	NA
LOC123387664	entrez_desc	translation initiation factor IF-2	NA
LOC123387668	NA	NA	NA
LOC123387669	kristen_mm_hs_ortholog	Gcsh	Gcsh
LOC123387670	NA	NA	NA
LOC123387671	NA	NA	NA
LOC123387672	NA	NA	NA
LOC123387673	NA	NA	NA
LOC123387674	NA	NA	NA
LOC123387676	entrez_desc	U6 spliceosomal RNA	NA
LOC123387677	entrez_desc	U6 spliceosomal RNA	NA
LOC123387679	entrez_desc	U6 spliceosomal RNA	NA
LOC123387680	entrez_desc	U6 spliceosomal RNA	NA
LOC123387681	entrez_desc	U6 spliceosomal RNA	NA
LOC123387682	entrez_desc	U6 spliceosomal RNA	NA
LOC123387683	entrez_desc	U6 spliceosomal RNA	NA
LOC123387684	entrez_desc	U6 spliceosomal RNA	NA
LOC123387685	entrez_desc	U6 spliceosomal RNA	NA
LOC123387687	entrez_desc	U6 spliceosomal RNA	NA
LOC123387689	entrez_desc	U6 spliceosomal RNA	NA
LOC123387690	entrez_desc	U6 spliceosomal RNA	NA
LOC123387693	entrez_desc	small nucleolar RNA SNORD58	NA
LOC123387694	entrez_desc	small nucleolar RNA SNORD58	NA
LOC123387695	entrez_desc	small nucleolar RNA SNORD58	NA
LOC123387696	entrez_desc	small Cajal body-specific RNA 18	NA
LOC123387697	entrez_desc	small nucleolar RNA SNORA14	NA
LOC123387698	entrez_desc	small nucleolar RNA SNORA44	NA
LOC123387699	entrez_desc	small Cajal body-specific RNA 17	NA
